customer_id,customer_name,segment,email,password,username
CG-12520,Claire Gute,Consumer,ericlong@example.com,O8&2BqfJ_b,brownann
DV-13045,Darrin Van Huff,Corporate,amandaglenn@example.com,(b7MIFoj)),salazarangela
SO-20335,Sean O'Donnell,Consumer,bryanvalenzuela@example.net,*)7@N*zG6y,zfletcher
BH-11710,Brosina Hoffman,Consumer,maria22@example.net,w)TW3Bm2*l,christine97
AA-10480,Andrew Allen,Consumer,alexanderriley@example.net,*poDa1@k4p,yhernandez
IM-15070,Irene Maddox,Consumer,pricecharles@example.org,%fCU7rby79,amy88
HP-14815,Harold Pawlan,Home Office,syoung@example.org,R)86V1*ij#,robertrichardson
PK-19075,Pete Kriz,Consumer,tturner@example.org,$I2waIsa)g,kevans
AG-10270,Alejandro Grove,Consumer,claudia34@example.com,yo)0CWkxYc,huntemily
ZD-21925,Zuschuss Donatelli,Consumer,roberthernandez@example.com,_EoHKLV5f3,whowell
KB-16585,Ken Black,Corporate,mstone@example.org,fFdid0zAJ&,vingram
SF-20065,Sandra Flanagan,Consumer,alyssamartinez@example.com,$P$c%WPr9A,murphykeith
EB-13870,Emily Burns,Consumer,andrewjones@example.net,(0gK&nFh7l,mark96
EH-13945,Eric Hoffmann,Consumer,gregorybowen@example.org,ooThNAAR&0,robert31
TB-21520,Tracy Blumstein,Consumer,barnesrobert@example.org,jcw9auYGH!,erica83
MA-17560,Matt Abelman,Home Office,brianna97@example.net,4auMAgIX*2,cperez
GH-14485,Gene Hale,Corporate,jose08@example.net,9L6iJrZaf@,carlosgomez
SN-20710,Steve Nguyen,Home Office,lorimunoz@example.org,&(D3KHjCi3,christianhuber
LC-16930,Linda Cazamias,Corporate,jamesmichele@example.org,De_Shvil_6,julieobrien
RA-19885,Ruben Ausman,Corporate,smithrichard@example.org,yd5vt(Sf@b,graylisa
ES-14080,Erin Smith,Corporate,smitheric@example.net,%6m#FcGYb1,agraham
ON-18715,Odella Nelson,Corporate,jill83@example.com,gcoBchoY+5,hhayes
PO-18865,Patrick O'Donnell,Consumer,davisshannon@example.org,B%11Cqe!7m,whitegabriel
LH-16900,Lena Hernandez,Consumer,peckjulie@example.net,sL)7SjXk_&,bcarter
DP-13000,Darren Powers,Consumer,rileyriley@example.com,8_sCFA1d#b,gperez
JM-15265,Janet Molinari,Corporate,gregoryjohns@example.org,%hQg_SWs#4,xrichardson
TB-21055,Ted Butterfield,Consumer,njones@example.net,A(o5AdcXvb,pmcdonald
KM-16720,Kunst Miller,Consumer,taylor75@example.org,EG%%W8Bt7),tmorales
PS-18970,Paul Stevenson,Home Office,parkandrew@example.org,&3QHnDIr*W,ywalker
BS-11590,Brendan Sweed,Corporate,hammondjack@example.com,_IKCyM!jX0,cameronscott
KD-16270,Karen Daniels,Consumer,olewis@example.org,7(0Yba4ZQ4,xmarshall
HM-14980,Henry MacAllister,Consumer,dsmith@example.net,dPqypBGo&8,cindybuchanan
JE-15745,Joel Eaton,Consumer,tammypowell@example.org,z+L8QZnrwZ,henrychristopher
KB-16600,Ken Brennan,Corporate,sjimenez@example.com,3r_#3DtarV,edwardclark
SC-20770,Stewart Carmichael,Corporate,qsanders@example.com,$o09&Dffd+,vlewis
DN-13690,Duane Noonan,Consumer,lwhite@example.net,US%UQ7Yc5B,kevinwood
JC-16105,Julie Creighton,Corporate,fbarron@example.com,@UaXpu#$)6,nelsonmatthew
CS-12400,Christopher Schild,Home Office,elizabethrollins@example.com,$(Ejv_lSb6,patelbrittany
PG-18895,Paul Gonzalez,Consumer,melissaallen@example.net,$h4uZ7k4SU,wilcoxanna
GM-14455,Gary Mitchum,Home Office,wwebb@example.net,+ApBYjclR7,orogers
JS-15685,Jim Sink,Corporate,jamespatton@example.net,%!NbY*(u4s,ecollins
KB-16315,Karl Braun,Consumer,stacey85@example.com,LD&8F#byOG,kimberlymccann
RB-19705,Roger Barcio,Home Office,cwalter@example.org,WW71XiTBg+,dlittle
PN-18775,Parhena Norris,Home Office,phenry@example.net,JA2nSrwQI@,sherrimartinez
KD-16345,Katherine Ducich,Consumer,lclark@example.net,he&E5JTa&0,mark84
ER-13855,Elpida Rittenbach,Corporate,poliver@example.org,ez%4WnyS62,roneill
